shoestring	shoe	_has_part-inv
splintering	splinter	_derivationally_related_form
stop	barricade	_derivationally_related_form
hold	pushcart	_has_part-inv
trainer	manager	_hypernym-inv
trim	trimming	_derivationally_related_form-inv
compound	nitrate	_hypernym-inv
motor	motorist	_derivationally_related_form-inv
fellow	society	_derivationally_related_form-inv
atmosphere	tone	_hypernym-inv
grazing	feeding	_hypernym
driver	operator	_hypernym
romp	play	_derivationally_related_form
controlled_substance	trash	_hypernym-inv
fin_keel	plate	_hypernym
burying	bury	_derivationally_related_form
victor	vanquisher	_hypernym-inv
tan	tanning	_derivationally_related_form-inv
sweet	sweetness	_derivationally_related_form
progeny	successor	_hypernym-inv
fauna	mutant	_hypernym-inv
deliver	deliverer	_derivationally_related_form
skinful	vernacular	_member_of_domain_usage-inv
mutilator	maul	_derivationally_related_form-inv
gestate	gestation	_derivationally_related_form
wittiness	laugh	_hypernym-inv
restitute	restoration	_derivationally_related_form
vilification	shout	_derivationally_related_form-inv
theorize	surmise	_derivationally_related_form
swig	slug	_derivationally_related_form
jumping	hop	_hypernym-inv
paw	canine	_has_part-inv
shrink	shrinking	_derivationally_related_form
glaze	finishing	_hypernym
travel	wheel	_hypernym-inv
appointee	charge	_derivationally_related_form
splitter	taxonomist	_hypernym
waive	forfeiture	_derivationally_related_form
fence	swordsman	_derivationally_related_form-inv
projection	project	_derivationally_related_form
train	conditioner	_derivationally_related_form
rally	mobilization	_derivationally_related_form
tag	ticket	_derivationally_related_form-inv
wage	pay	_derivationally_related_form-inv
socialist	politico	_hypernym
violence	storm	_derivationally_related_form-inv
employee	dispatcher	_hypernym-inv
teaching	train	_derivationally_related_form
vernal_equinox	springtime	_part_of
venter	ventilate	_derivationally_related_form
aquatint	etch	_hypernym
perpetuate	protraction	_derivationally_related_form-inv
derail	weaken	_hypernym
whipper	oppressor	_hypernym
wrench	trauma	_hypernym
miss	escape	_derivationally_related_form-inv
leach	withdraw	_hypernym
onslaught	charge	_hypernym-inv
disrepute	disgrace	_derivationally_related_form-inv
activity	music	_hypernym-inv
steamship	steamer	_derivationally_related_form
bureaucrat	official	_hypernym
take	yield	_derivationally_related_form-inv
tap	lobby	_hypernym-inv
untruth	prevarication	_hypernym-inv
reprimand	censure	_derivationally_related_form-inv
fledge	produce	_hypernym
second	seconder	_derivationally_related_form
unapologetic	formulation	_derivationally_related_form
recess	mihrab	_hypernym-inv
spellbind	tempt	_hypernym
limit	demarcate	_derivationally_related_form
physiology	adduction	_member_of_domain_topic
sleep	slumber	_derivationally_related_form
holdfast	loop	_hypernym-inv
throng	pile	_derivationally_related_form-inv
tutelage	charge	_derivationally_related_form-inv
poise	hold	_hypernym
vitiate	suborn	_hypernym-inv
fascism	nazism	_hypernym-inv
agent	coolant	_hypernym-inv
equation	equate	_derivationally_related_form
solidifying	set	_derivationally_related_form-inv
flaw	mar	_derivationally_related_form
pad	mattress	_hypernym-inv
dealer	trade	_derivationally_related_form-inv
dominance	ascend	_derivationally_related_form
ingenuousness	ingenuous	_derivationally_related_form-inv
soul	reliever	_hypernym-inv
spider_crab	crab	_hypernym
pair	mate	_derivationally_related_form
turn	meliorate	_hypernym-inv
proposal	advice	_hypernym-inv
suffocate	suffocation	_derivationally_related_form-inv
reproduce	produce	_hypernym
wage	struggle	_hypernym
adjustment	conform	_derivationally_related_form
projectile	arrow	_hypernym-inv
beat	rhythm	_derivationally_related_form-inv
garbage	substance	_hypernym
radio	wireless	_derivationally_related_form-inv
rebound	recuperate	_hypernym
modification	vary	_derivationally_related_form-inv
antagonize	antagonism	_derivationally_related_form
pit	infernal	_derivationally_related_form-inv
bird	syrinx	_part_of-inv
element	unq	_hypernym-inv
endocrine_gland	anterior_pituitary_gland	_hypernym-inv
suer	sue	_derivationally_related_form-inv
mutilator	maim	_derivationally_related_form-inv
lodging	lodge	_derivationally_related_form
attachment	tie	_derivationally_related_form
carry	transport	_derivationally_related_form-inv
rough	startle	_derivationally_related_form
wind	scent	_derivationally_related_form-inv
prettify	neaten	_hypernym-inv
psychoanalyze	psychoanalyst	_derivationally_related_form
wearable	knitwear	_hypernym-inv
protection	lockup	_hypernym-inv
textile	artifact	_hypernym
witch	occultist	_hypernym
expert	analyst	_hypernym-inv
proclaim	praise	_derivationally_related_form
acknowledgment	credits	_hypernym-inv
imagine	thought	_derivationally_related_form-inv
alkali	salt	_hypernym
design	designer	_derivationally_related_form
ford	water	_hypernym
species	variant	_member_meronym
totipotent	wallboard	_hypernym
dredger	lighter	_hypernym
spellbind	spellbinder	_derivationally_related_form-inv
message	wire	_hypernym-inv
shuffle	shuffling	_derivationally_related_form
reputable	respectability	_derivationally_related_form-inv
dial	operate	_hypernym
pustule	bulla	_hypernym
texture	grain	_hypernym-inv
repulse	standoff	_derivationally_related_form
subscribe	write	_hypernym
skipper	captainship	_derivationally_related_form
overwhelm	torrent	_derivationally_related_form
snipe	flak	_derivationally_related_form-inv
report	inform	_hypernym
unit	organization	_hypernym
ebonics	colloquialism	_synset_domain_usage_of
vocalizing	intonation	_hypernym-inv
supporter	confederate	_hypernym-inv
waste	murderer	_derivationally_related_form-inv
polygamist	polygamy	_derivationally_related_form-inv
vim	excite	_derivationally_related_form-inv
dyke	barrier	_hypernym
pain	pang	_hypernym-inv
widen	increase	_hypernym
eyelet	eye	_derivationally_related_form-inv
story	edifice	_has_part-inv
transmission	incident	_hypernym
modify	modification	_derivationally_related_form-inv
end	die	_derivationally_related_form
